,ID,光照强度,功率A,功率B,功率C,发电量,平均功率,板温,现场温度,电压A,电压B,电压C,电流A,电流B,电流C,转换效率,转换效率A,转换效率B,转换效率C,风向,风速
0,10,34,976.86,155.98,1087.5,1.437751581,740.11,-19.14,-17.4,729.0,709.0,725.0,1.34,0.22,1.5,80.55,106.32,16.98,118.36,272,0.6
1,11,30,1128.4,172.08,1132.56,1.692574814,811.01,-18.73,-17.3,728.0,717.0,726.0,1.55,0.24,1.56,99.9,139.0,21.2,139.51,275,0.8
2,12,41,1279.25,166.06,1310.4,1.975787459,918.57,-17.54,-17.0,731.0,722.0,720.0,1.75,0.23,1.82,82.48,114.86,14.91,117.66,283,1.1
3,14,53,1474.6,225.37,1517.34,2.370655595,1072.44,-15.43,-16.6,730.0,727.0,726.0,2.02,0.31,2.09,73.98,101.72,15.55,104.67,280,0.9
4,15,65,1548.51,233.28,1674.4,2.532091305,1152.06,-14.6,-16.3,727.0,729.0,728.0,2.13,0.32,2.3,64.62,86.86,13.09,93.92,280,1.1
5,16,76,1619.93,538.72,1723.12,2.779719016,1293.92,-14.1,-16.2,733.0,728.0,724.0,2.21,0.74,2.38,61.97,77.59,25.8,82.53,278,0.9
6,19,96,1865.82,1865.82,1979.25,3.832377845,1903.63,-11.25,-15.9,726.0,726.0,725.0,2.57,2.57,2.73,71.51,70.09,70.09,74.35,277,1.5
7,20,100,1923.9,1900.8,2011.59,3.956691872,1945.43,-10.77,-15.8,726.0,720.0,721.0,2.65,2.64,2.79,70.04,69.27,68.43,72.42,281,1.5
8,22,100,2055.375,4517.73,294.25,5.4407405110000004,2074.3,-10.77,-15.8,725.0,7.0,107.0,7.19,2.84,2.75,69.50999999999999,68.955,162.65,10.59,281,1.5
9,24,122,2134.16,2151.0,2272.89,4.501339205,2186.02,-8.33,-14.7,721.0,717.0,717.0,2.96,3.0,3.17,63.99,62.47,62.96,66.53,278,0.7
10,27,142,2402.81,2402.81,2495.68,5.1358053560000005,2433.77,-5.52,-13.9,713.0,713.0,709.0,3.37,3.37,3.52,60.63,59.86,59.86,62.17,265,0.0
11,30,159,2633.38,2644.18,2675.2,5.632253547,2650.92,-4.6,-13.9,706.0,707.0,704.0,3.73,3.74,3.8,58.79,58.41,58.65,59.33,276,1.2
12,34,187,2903.39,2938.54,3042.34,6.240379858,2961.42,-3.7,-13.4,703.0,703.0,701.0,4.13,4.18,4.34,55.68,54.59,55.25,57.2,282,1.8
13,35,189,2970.88,2958.22,3059.0,6.32529002,2996.03,-3.79,-13.1,704.0,701.0,700.0,4.22,4.22,4.37,55.75,55.28,55.04,56.92,283,1.8
14,39,213,3243.24,3257.34,3329.05,6.893458775,3276.54,-2.85,-12.0,702.0,699.0,695.0,4.62,4.66,4.79,53.92,53.38,53.61,54.79,279,1.2
15,42,229,3354.12,3408.6,3491.4,7.194232037000001,3418.04,-1.23,-11.4,693.0,690.0,690.0,4.84,4.94,5.06,52.03,51.06,51.89,53.15,268,0.5
16,43,233,3471.93,3503.7,3508.8,7.409266422999999,3494.81,0.02,-11.5,693.0,687.0,688.0,5.01,5.1,5.1,52.06,51.72,52.2,52.27,281,1.5
17,44,243,3501.52,3526.04,3617.25,7.486756185,3548.27,0.12,-11.0,692.0,686.0,689.0,5.06,5.14,5.25,50.67,50.0,50.35,51.65,278,1.1
18,45,245,3519.0,3555.15,3654.84,7.5245060520000004,3576.33,0.14,-10.8,690.0,685.0,687.0,5.1,5.19,5.32,50.65,49.84,50.35,51.76,279,1.4
19,47,250,3632.64,3654.05,3716.67,7.727475919,3667.79,0.49,-10.7,688.0,683.0,687.0,5.28,5.35,5.41,50.84,50.36,50.65,51.52,273,1.4
20,49,262,3690.68,3715.52,3823.56,7.859372552999999,3743.25,0.95,-10.5,686.0,683.0,684.0,5.38,5.44,5.59,49.43,48.74,49.07,50.5,275,1.6
21,52,272,3809.88,3819.2,3934.08,8.072623771,3854.39,1.47,-9.7,684.0,682.0,683.0,5.57,5.6,5.76,48.94,48.38,48.5,49.95,265,1.8
22,57,292,4016.98,3993.42,4115.46,8.499591852,4041.95,3.18,-9.9,682.0,678.0,678.0,5.89,5.89,6.07,47.53,47.23,46.95,48.39,275,1.9
23,58,296,4057.9,4102.62,4111.4,8.61579488,4090.64,3.47,-10.1,682.0,677.0,674.0,5.95,6.06,6.1,47.4,47.02,47.54,47.64,268,1.5
24,60,309,4162.27,4151.25,4233.17,8.814133488,4182.23,4.43,-9.2,679.0,675.0,673.0,6.13,6.15,6.29,46.27,46.05,45.92,46.83,262,1.4
25,61,310,4149.36,4206.25,4247.04,8.825954978,4200.88,4.55,-9.4,678.0,673.0,672.0,6.12,6.25,6.32,46.3,45.74,46.36,46.81,265,1.9
26,63,313,4193.28,4233.17,4267.56,8.927323562,4231.34,5.45,-9.4,672.0,673.0,671.0,6.24,6.29,6.36,46.05,45.63,46.07,46.44,271,1.8
27,64,320,4239.9,4241.1,4288.81,8.993092311,4256.6,5.14,-8.5,673.0,670.0,667.0,6.3,6.33,6.43,45.36,45.18,45.19,45.7,264,0.9
28,65,326,4314.53,4328.64,4382.19,9.174610886,4341.79,5.6,-8.0,671.0,668.0,667.0,6.43,6.48,6.57,45.34,45.06,45.2,45.76,281,0.6
29,66,331,4308.36,4309.2,4408.96,9.166628462,4342.17,6.41,-8.0,669.0,665.0,664.0,6.44,6.48,6.64,44.53,44.19,44.19,45.22,276,1.2
30,67,334,4321.96,4375.62,4422.24,9.22637093,4373.27,6.74,-8.1,668.0,666.0,664.0,6.47,6.57,6.66,44.4,43.88,44.42,44.89,269,1.2
31,68,334,4335.5,4382.4,4442.16,9.26106829,4386.69,6.95,-7.5,667.0,664.0,664.0,6.5,6.6,6.69,44.5,43.98,44.46,45.06,275,0.9
32,71,346,4369.12,4428.84,4534.92,9.363345862000001,4444.29,8.58,-7.9,664.0,663.0,663.0,6.58,6.68,6.84,43.27,42.54,43.12,44.15,282,2.8
33,73,352,4448.8,4488.51,4574.96,9.500436634,4504.09,8.39,-8.0,664.0,663.0,664.0,6.7,6.77,6.89,43.13,42.61,42.99,43.81,278,2.0
34,74,351,4468.86,4488.51,4587.96,9.53812862,4515.11,8.28,-7.4,666.0,663.0,663.0,6.71,6.77,6.92,43.38,42.94,43.12,44.08,287,1.2
35,75,353,4488.64,4494.98,4547.4,9.567061807,4510.34,8.97,-7.2,664.0,662.0,660.0,6.76,6.79,6.89,42.98,42.78,42.84,43.34,281,1.3
36,76,360,4515.2,4554.81,4627.0,9.632616198,4565.67,8.95,-7.0,664.0,663.0,661.0,6.8,6.87,7.0,42.67,42.2,42.57,43.24,280,2.0
37,77,361,4521.84,4567.51,4600.2,9.638795743,4563.18,9.1,-6.7,664.0,661.0,660.0,6.81,6.91,6.97,42.5,42.12,42.54,42.85,276,2.0
38,78,362,4548.78,4566.87,4626.18,9.666952386,4580.61,8.89,-6.4,666.0,659.0,659.0,6.83,6.93,7.02,42.58,42.28,42.45,43.0,277,2.3
39,79,364,4534.7,4600.9,4667.1,9.67283446,4600.9,8.58,-6.4,662.0,662.0,662.0,6.85,6.95,7.05,42.58,41.97,42.58,43.19,277,2.3
40,80,365,4568.07,4607.52,4639.36,9.696061157,4604.98,8.68,-6.4,663.0,662.0,659.0,6.89,6.96,7.04,42.49,42.15,42.51,42.8,278,3.2
41,84,372,4607.85,4627.0,4719.54,9.780475125,4651.46,8.16,-5.7,663.0,661.0,661.0,6.95,7.0,7.14,42.19,41.79,41.96,42.8,282,1.7
42,87,374,4634.72,4667.52,4726.15,9.834537337,4676.13,8.64,-6.2,664.0,663.0,661.0,6.98,7.04,7.15,42.11,41.74,42.03,42.56,277,2.8
43,88,374,4607.85,4647.63,4740.45,9.806275566,4665.31,9.09,-5.8,663.0,663.0,663.0,6.95,7.01,7.15,41.95,41.43,41.79,42.62,264,3.6
44,90,376,4655.0,4679.4,4711.28,9.896070605,4681.89,9.81,-5.2,665.0,660.0,658.0,7.0,7.09,7.16,41.76,41.52,41.74,42.03,276,1.7
45,91,376,4600.56,4659.13,4732.2,9.820113595,4663.96,9.93,-5.4,661.0,659.0,660.0,6.96,7.07,7.17,41.59,41.02,41.54,42.19,268,2.6
46,92,376,4621.11,4653.0,4711.28,9.838550081000001,4661.8,9.93,-5.3,663.0,660.0,658.0,6.97,7.05,7.16,41.57,41.2,41.49,42.01,282,2.1
